take_profit_pct,stop_loss_pct,take_profit_take,stop_loss_give,current,pair,direction,entry_price,take_profit,stop_loss,block_time,order_id,bidder_addr,status,leverage,margin_amount,fee,time,user_type,pnl,funding_payment,hash,ask_amount,offer_amount
100.00%,-100.00%, $ 737.115 , $ (737.114),,ORAI_USDC,SELL,5.18467,3.456446,,1701687430,894,orai1uesy4qnqathqlxalakh9r5slvjlvq6appzdhjr,OPENING,3,737.1144,0.8856,2023-12-04 18:30:53,USER,0,0,,0,0
50.00%,-25.00%, $ 2.587 , $ (1.293),,ORAI_USDC,BUY,5.178009,6.041009,4.746507,1701688397,897,orai130nsjuzzcsef3cku8nyfzaqw7cy24al8dk8gg5,OPENING,3,5.173784,0.006216,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 34.512 , $ (345.117),,ORAI_USDC,SELL,5.174914,5.002416,,1701688634,902,orai1hvhkk0jrdu6dz2qwum2v2arc8rtucha79jkfdn,OPENING,3,345.116967,0.414636,2023-12-04 18:30:53,USER,0,0,,0,0
26.41%,-100.00%, $ 6.594 , $ (24.966),,INJ_USDC,SELL,16.448036,15,,1701279398,394,orai1mvdnt277449t26f6g38epa0ugu5wmallgdaya7,OPENING,3,24.966359,0.029994,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 1.170 , $ (11.702),,INJ_USDC,BUY,17.58102,18.167054,,1701422816,574,orai1ax88yuwrmapcmrrfm3r7c8xugphjgpgsuptsux,OPENING,3,11.701546,0.014058,2023-12-04 18:30:53,USER,0,0,,0,0
6.05%,-100.00%, $ 1.631 , $ (26.968),,INJ_USDC,SELL,17.55393,17.2,,1701516339,721,orai1uhcwtfntsvk8gpwfxltesyl4e28aalmqvx7typ,OPENING,3,26.9676,0.0324,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 0.100 , $ (1.000),,INJ_USDC,SELL,17.709588,15.938629,,1701679805,883,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,OPENING,1,0.9996,0.0004,2023-12-04 18:30:53,USER,0,0,,0,0
5.00%,-90.00%, $ 163.001 ," $ (2,933.316)",,INJ_USDC,BUY,16.593808,16.870436,11.61571,1701688926,905,orai1nza67tu4pv6uueqmynytqzelejpykr5d3tkqnd,OPENING,3,3259.26911,3.91582,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 135.553 ," $ (2,439.456)",,INJ_USDC,BUY,16.692873,16.971142,11.685048,1701689000,906,orai1nza67tu4pv6uueqmynytqzelejpykr5d3tkqnd,OPENING,3,2710.526606,3.256538,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 145.875 ," $ (2,625.186)",,INJ_USDC,BUY,16.78651,17.066344,11.750597,1701689150,907,orai1nza67tu4pv6uueqmynytqzelejpykr5d3tkqnd,OPENING,3,2916.89638,3.50448,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 148.331 ," $ (2,669.376)",,INJ_USDC,BUY,16.884681,17.166152,11.819318,1701689505,908,orai1nza67tu4pv6uueqmynytqzelejpykr5d3tkqnd,OPENING,3,2965.997491,3.563472,2023-12-04 18:30:53,BOT,0,0,,0,0
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
#DIV/0!,-100.00%,#DIV/0!, $ -  .0 ,,,,,,,,,,,,,,,,,,,,
