user_type,pair,hash,height,time,order_id,status,direction,bidder_addr,offer_amount,ask_amount,leverage,margin_amount,entry_price,take_profit,stop_loss,pnl,fee,funding_payment,,
BOT,ORAI_USDC,C1304E9E938B1E3E381370973EA623688800FBF2AAC876239C5134053D19A669,14555240,2023-11-26 00:04:31,41,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,16124.78576,4105.754335,3,5374.88868,3.927333,3.861826,5.105465,-0.119715,6.457614,-14.6986,,
USER,ORAI_USDC,6877922555FAA9474B3E46B71B88692FCF8B4021FF3B2340CAE4A566A323EF62,14554526,2023-11-25 22:56:23,42,Close,SELL,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,449.653158,115.727583,3,149.82,3.883775,3.838345,0,-0.193158,0.18,0,,
USER,ORAI_USDC,E824A323D34211CB6AA67FF5C1C6321C9F6EF4FC7899D3E1521FFC6E549118A5,14556016,2023-11-26 01:18:26,43,TP,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,340.309815,88.866386,3,115.241564,3.885719,3.846861,3.924575,5.000013,0.138288,-0.245271,,
USER,ORAI_USDC,2B3FA2073E72EFBBA9959FFD38F5B76A23CE9B42530F3724B99057103C72C71C,14554847,2023-11-25 23:27:02,44,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,2.994355,0.771309,3,0.9988,3.884824,3.949569,2.719375,-0.002045,0.0012,0,,
USER,ORAI_USDC,A19818CC2F0BB363E7475B6981344B73B67921BD8DAC44C92201BAD32EF43042,14554849,2023-11-25 23:27:13,45,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,2.994332,0.771306,3,0.9988,3.884839,3.949584,2.719385,-0.002068,0.0012,0,,
USER,ORAI_USDC,4177E7928CF369AD91141340E7EA7BEBF47CC3E82DC7BD4E4F1F51E30F575128,14554852,2023-11-25 23:27:30,46,Close,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,2.994308,0.771303,3,0.9988,3.884854,4.014349,0,-0.002092,0.0012,0,,
USER,ORAI_USDC,7E5B4918A84AE4C66739545EDFBD1555644309682F582ED4F6A1BEBE49E5B468,14555304,2023-11-26 00:10:39,47,Close,SELL,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,507.517254,131.166558,3,169.796,3.88352,3.755287,0,1.870746,0.204,0.007738,,
BOT,ORAI_USDC,D0E2292955204439504664F510796A9AE6C40576F63CBECBC1D9FC729ED40EC6,14556711,2023-11-26 02:24:48,48,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4483.68248,1184.624779,3,1530.037869,3.87009,3.805574,5.031098,100.922995,1.836044,3.831076,,
BOT,ORAI_USDC,E6BE9B9A53B95985C87F010EEFC5E415E20E813D7655E697C20908FEFD94F666,14556394,2023-11-26 01:54:27,49,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,19045.18614,4943.91097,3,6465.71072,3.91873,3.853356,5.094268,328.669469,7.758852,4.054006,,
USER,ORAI_USDC,0CD9D30B6D0607BBFC1799D514CCC5BBA6EBAF5F448FB853DAC6E6E735114E06,14560328,2023-11-26 08:10:15,50,TP,BUY,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,458.205332,116.086491,3,150,3.871768,3.936298,2.710238,8.745332,0.18,-3.013257,,
BOT,ORAI_USDC,075708DD7726D9F9EAB1EA764DFD163A515FD78F74124A43133EF53C199385B5,14556720,2023-11-26 02:25:40,51,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4182.717741,1105.337475,3,1424.554083,3.861747,3.79737,5.020252,85.816116,1.709464,3.509446,,
BOT,ORAI_USDC,FB8200F4E94F8DF5F77E10767E922DDC1E1926AE3BF321C256EB03393899426D,14557228,2023-11-26 03:14:09,52,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4152.193304,1097.156583,3,1404.198507,3.839557,3.775551,4.991407,60.402217,1.687062,7.248913,,
USER,ORAI_USDC,512C38090569083313068F685B633A6ED3C83D9AFEC7F444FD54C177F405D57E,14556395,2023-11-26 01:54:32,53,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,367.156609,94.061154,3,120.210272,3.829402,3.791107,3.867695,-6.958549,0.144252,0,,
BOT,ORAI_USDC,FB8200F4E94F8DF5F77E10767E922DDC1E1926AE3BF321C256EB03393899426D,14557228,2023-11-26 03:14:09,54,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4930.134277,1294.645653,3,1646.606275,3.815575,3.751967,4.960228,9.684548,1.9783,8.553723,,
BOT,ORAI_USDC,9F689E1129034F4273D8C522FA41F99899727752C5316A356D4025E72B84D21A,14557943,2023-11-26 04:22:26,55,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,17746.45478,4698.842774,3,6047.786194,3.856606,3.792272,5.013512,375.131772,7.257342,55.164414,,
BOT,ORAI_USDC,699CBC2B83FBF0F1EEEBE03C4CCCC3CD7BF87F480BC40BB6E1E25C1D6397B399,14558037,2023-11-26 04:31:21,57,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,6548.888645,1748.127048,3,2208.726946,3.790445,3.727251,4.927552,77.292193,2.653656,16.406172,,
BOT,ORAI_USDC,908300C2C1EC6B386B06D2EECE3A2E8E46E1D63200B60A12B81749E6C00CB14F,14558091,2023-11-26 04:36:30,58,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4445.189863,1185.034898,3,1495.076657,3.784892,3.721796,4.920341,40.040108,1.796246,11.121552,,
BOT,ORAI_USDC,908300C2C1EC6B386B06D2EECE3A2E8E46E1D63200B60A12B81749E6C00CB14F,14558091,2023-11-26 04:36:30,59,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4079.305031,1081.139946,3,1363.802687,3.784346,3.72126,4.919632,12.10303,1.638528,10.146498,,
BOT,ORAI_USDC,F8A79A0C84B39219FD6BC21F55D7673742047BD1316455ED89E1BF94B36430E7,14557946,2023-11-26 04:22:43,60,TP,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4227.125679,1129.627094,3,1436.247674,3.809728,3.746219,4.952629,76.446855,1.723496,5.798375,,
BOT,ORAI_USDC,1AD7DBBA03ACD36974CC3264291369B1123345D53466021B34200B5EF83E292E,14558154,2023-11-26 04:42:31,61,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4697.570427,1252.91652,3,1581.271497,3.786217,3.723098,4.922062,46.244064,1.899804,6.43122,,
BOT,ORAI_USDC,8A012E875C2C492F5512634633F4EE093807273B49A3EDC859A24B8E9C586330,14558207,2023-11-26 04:47:36,62,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4595.659213,1217.928724,3,1527.307739,3.762061,3.699346,4.890661,-13.735996,1.83497,6.251628,,
BOT,ORAI_USDC,58C9EBCAB69ECF642AB51DC5D8E834D468664A1758D9926BE085E4071B7A7DAC,14558614,2023-11-26 05:26:28,63,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,3769.972414,993.3943,3,1238.642245,3.740636,3.67828,4.862811,-54.045679,1.488156,5.542146,,
BOT,ORAI_USDC,58C9EBCAB69ECF642AB51DC5D8E834D468664A1758D9926BE085E4071B7A7DAC,14558614,2023-11-26 05:26:28,64,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,18079.05075,4693.582106,3,5908.942205,3.776822,3.71382,4.909797,-352.224131,7.099248,26.185494,,
BOT,ORAI_USDC,A9A9162CE866307D3265A99D9ED3D0D4A48B6A49C7EEE4C190196480FA2D16DA,14558842,2023-11-26 05:48:12,65,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4650.044102,1218.5063,3,1520.254465,3.742913,3.680517,4.865768,-89.280707,1.826496,6.798046,,
USER,ORAI_USDC,658D769468EAD50AF1D763370B413C76F1DB6D86807019BEABB99A5C5F0E920A,14558616,2023-11-26 05:26:39,66,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,365.044954,93.590986,3,116.512963,3.730267,3.716255,3.791331,-15.925507,0.139814,0.522144,,
BOT,ORAI_USDC,7504911A91C74702C66AA4F90E5502E2E9E0A453CD8B656960BDFF4FA9208E9C,14559032,2023-11-26 06:06:21,67,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4663.377527,1214.269183,3,1518.398379,3.751388,3.688851,4.876786,-108.18239,1.824266,11.258703,,
BOT,ORAI_USDC,1434CF742A026829420886739FDC52FBD7F0C8EE0369A2135B68EE5D7B2DC3CE,14560192,2023-11-26 07:57:13,68,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,3970.815175,1034.354809,3,1301.083303,3.773608,3.710702,4.905674,-67.565266,1.563174,11.307566,,
BOT,ORAI_USDC,1434CF742A026829420886739FDC52FBD7F0C8EE0369A2135B68EE5D7B2DC3CE,14560192,2023-11-26 07:57:13,69,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,5248.18887,1358.562354,3,1698.353723,3.750332,3.687811,4.875412,-153.127701,2.040472,14.851803,,
USER,ORAI_USDC,5BAE077F3EE3E26A704F2CCDBC21A9D2E7C300A315D8D9978EA8D4D0B2B76828,14558618,2023-11-26 05:26:50,70,TP,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,291.669364,76.654268,3,99.785684,3.900602,3.861595,3.939607,7.328462,0.119742,0,,
BOT,ORAI_USDC,825ECF3D94D4AE2E2AEE52C1E9F4E70AD9F2356DF19A325A1B0915D67EC01652,14560327,2023-11-26 08:10:08,71,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,18487.39505,4741.164027,3,6087.229621,3.851731,3.789017,5.009209,-225.70619,7.31345,37.06642,,
USER,ORAI_USDC,2371FC4E63999CC6A2AAAF7441B8908653947815C4B3C697A17D5C9F154A9902,14560193,2023-11-26 07:57:19,72,SL,SELL,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,326.362775,84.164425,3,106.874662,3.804924,3.766873,3.842971,-6.123533,0.128248,0.450532,,
BOT,ORAI_USDC,F7A0765AFBFA522DF774F979656852B19472234BD1125B96DB23A9F53A006A78,14560342,2023-11-26 08:11:34,73,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,4657.543729,1201.500258,3,1538.164143,3.840608,3.776584,4.992772,-43.0513,1.848014,2.961698,,
BOT,ORAI_USDC,F7A0765AFBFA522DF774F979656852B19472234BD1125B96DB23A9F53A006A78,14560342,2023-11-26 08:11:34,74,Close,SELL,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,5006.601885,1283.135407,3,1653.325764,3.865513,3.801072,5.025146,-46.624593,1.986374,3.162928,,
